Topic Modelling with LSI -- K-Means with reduced dimension defined by LSI topics

GroupID  --  TopicID  --->                Terms
2    --    0    --->    free ship get order code save shop use offer price
7    --    1    --->    link free ship page text save use offer product coupon
5    --    2    --->    link save free code coupon text ship page use offer
14    --    3    --->    product price link code high custom ship low qualiti use
4    --    4    --->    shop code coupon new use save order product 15 select
8    --    5    --->    save shop use offer get coupon new onlin free code
17    --    6    --->    shop code product offer order get onlin new deal hotel
0    --    7    --->    get offer ship code price order item onlin valid special
6    --    8    --->    new product price offer health use get diet code shop
11    --    9    --->    new health diet product smart price weight life cooki york
10    --    10    --->    onlin new valid sep use promot hotel offer get remov
9    --    11    --->    sep onlin promot remov pleas run valid offer 1 begin
15    --    12    --->    hotel deal gift code price book card sep offer best
18    --    13    --->    gift onlin hotel card order get deal price book code
3    --    14    --->    product gift offer page order price text diet health card
3    --    15    --->    use page order onlin home product coupon price deal gift
3    --    16    --->    order sale offer sign item price coupon product purchas free
3    --    17    --->    home great offer sign onlin select page sale item ship
13    --    18    --->    home product page select great order coupon sale ship onlin
12    --    19    --->    coupon code offer price sign home hotel deal day promo
19    --    20    --->    use sale sign day code page home mac hotel price
3    --    21    --->    sale coupon use order select day purchas hotel code free
3    --    22    --->    sign mac intel appl sale core ram select graphic os
3    --    23    --->    home page book text order 50 ship month buy deal
16    --    24    --->    book 50 page home month best text ship order buy
3    --    25    --->    book deal hotel day order 50 great sale custom item
3    --    26    --->    hotel day sale book great offer one page get month
1    --    27    --->    best sale intel deal home mac appl 50 today core
3    --    28    --->    book sign mac deal great sale price 10 select tool
3    --    29    --->    10 50 today best custom ship purchas onlin special discount
3    --    30    --->    best purchas select coupon item sale sign home mac deal
3    --    31    --->    50 ticket buy discount today price coupon select la item
3    --    32    --->    best 10 hotel book deal sign design item buy day
3    --    33    --->    treatment 10 naturasil sign penguin onlin club custom today order
3    --    34    --->    ticket day mac design 10 busi penguin today brand world
3    --    35    --->    50 buy ship 10 1 order purchas de free best
3    --    36    --->    treatment design naturasil use custom hotel product today day deal
3    --    37    --->    10 buy purchas treatment toy brand 1 naturasil sign select
3    --    38    --->    de la day best great tool makita design busi today
3    --    39    --->    de discount item toy tool makita suppli adult sale mac
3    --    40    --->    de ship time design great discount select custom free month
3    --    41    --->    toy adult de ticket makita tool sex women top store
3    --    42    --->    toy de 50 adult ticket 1 top buy avail suppli
3    --    43    --->    makita discount today day tool suppli 50 toy 30 item
3    --    44    --->    makita busi price today ship purchas user 1 set file
3    --    45    --->    month makita 50 buy audiobook custom time top avail receiv
3    --    46    --->    makita discount purchas 1 suppli secur ship time remov item
3    --    47    --->    memorabilia item set cleanup secur sport ship design provid price
3    --    48    --->    top brand memorabilia custom makita promot design buy discount promo
3    --    49    --->    memorabilia user organ better basic giggl cotton long busi sport

